YEAR,MONTH,DAY,ACMH,ACSH,ADPT,ASLP,ASTP,AWBT,AWND,FMTM,PGTM,PRCP,PSUN,RHAV,RHMN,RHMX,SNOW,SNWD,TAVG,TMAX,TMIN,TSUN,WDF1,WDF2,WDF5,WDFG,WESD,WSF1,WSF2,WSF5,WSFG,WT01,WT02,WT03,WT04,WT05,WT06,WT07,WT08,WT09,WT10,WT11,WT13,WT14,WT15,WT16,WT17,WT18,WT21,WV03
1969,8,22,80.0,100.0,,,,,,,1636.0,0.0,40.0,,,,0.0,0.0,,93.02,75.02,318.0,160.0,,,,,67.0,,,82.0,9999.0,,1.0,,,,,1.0,,,,,,,9999.0,,,,
1969,8,23,,,,,,,,,,0.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,-99.0,,,,
1969,8,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.0,,,,,,,,,,,,99.0,,,,
1969,8,25,30.0,40.0,,,,,,,1636.0,0.0,92.0,,,,0.0,0.0,,96.98,71.96,726.0,130.0,,,135.0,,58.0,,,93.0,1.0,,-9999.0,,,,,1.0,,,,,,,-9999.0,,,,
1969,8,26,,,,,,,,,,0.0,,,,,0.0,0.0,,32.0,32.0,,,,,,,,,,,,,,,,,,,,,,,,,-9.0,,,,
1969,8,27,30.0,40.0,,,,,,,312.0,0.0,80.0,,,,0.0,0.0,,98.06,71.96,636.0,160.0,,,,,45.0,,,77.0,1.0,,1.0,,,,,999.0,,,,,,,999.0,,,,
1969,8,28,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,0.0,,,,,-999.0,,,,,,,,,,,
1969,8,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,,,,,,,,,,,,,,,,,,
1969,8,30,20.0,40.0,,,,,,,1124.0,30.0,81.0,,,,0.0,0.0,,91.94,73.04,636.0,180.0,,,,,67.0,,,93.0,1.0,,1.0,,,,,9999.0,,,,,,,1.0,,,,
1969,8,31,,,,,,,,,,0.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,0.0,,,,,-99.0,,,,,,,,,,,
1969,9,1,50.0,50.0,,,,,,,1436.0,0.0,63.0,,,,0.0,0.0,,93.91999999999999,69.08,480.0,50.0,,,203.0,,58.0,,,82.0,1.0,-9999.0,-9999.0,,,,,1.0,,,,,,,1.0,,,,
1969,9,2,,,,,,,,,,,,,,,0.0,0.0,,32.0,32.0,,,,,,,,,,,,-9.0,,,,,,,,,,,,,,,,,
1969,9,3,40.0,40.0,,,,,,,500.0,460.0,66.0,,,,0.0,0.0,,95.0,69.08,504.0,80.0,,,,,130.0,,,190.0,1.0,999.0,1.0,,,,,1.0,,,,,,,1.0,,,,
1969,9,4,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,-999.0,0.0,,,,,,,,,,,,,,,,
1969,9,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,,,,,,,,,,,,,,,,,
