YEAR,MONTH,DAY,ACMH,ACSH,ADPT,ASLP,ASTP,AWBT,AWND,FMTM,PGTM,PRCP,PSUN,RHAV,RHMN,RHMX,SNOW,SNWD,TAVG,TMAX,TMIN,TSUN,WDF1,WDF2,WDF5,WDFG,WDFM,WESD,WSF1,WSF2,WSF5,WSFG,WSFM,WT01,WT02,WT03,WT04,WT05,WT06,WT07,WT08,WT09,WT10,WT11,WT13,WT14,WT15,WT16,WT17,WT18,WT19,WT21,WT22,WV03,WV20
1948,9,17,,,,,,,,,,,,,,,,,66.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1948,9,25,,,,,,,,,,,,,,,,,71.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1948,10,1,,,,,,,,,,,,,,,,,64.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1948,10,9,,,,,,,,,,,,,,,,,58.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1948,10,17,,,,,,,,,,,,,,,,,45.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1948,10,25,,,,,,,,,,,,,,,,,59.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1948,11,1,,,,,,,,,,,,,,,,,51.620000000000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1948,11,9,,,,,,,,,,,,,,,,,50.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1948,11,17,,,,,,,,,,,,,,,,,39.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1948,11,25,,,,,,,,,,,,,,,,,48.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1948,12,1,,,,,,,,,,,,,,,,,26.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1948,12,9,,,,,,,,,,,,,,,,,33.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1948,12,17,,,,,,,,,,,,,,,,,26.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1948,12,25,,,,,,,,,,,,,,,,,37.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1949,1,1,,,,,,,,,,,,,,,,,18.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1949,1,9,,,,,,,,,,,,,,,,,27.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1949,1,17,,,,,,,,,,,,,,,,,31.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1949,1,25,,,,,,,,,,,,,,,,,42.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1949,2,1,,,,,,,,,,,,,,,,,18.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1949,2,9,,,,,,,,,,,,,,,,,15.620000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1949,2,17,,,,,,,,,,,,,,,,,21.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1949,2,25,,,,,,,,,,,,,,,,,29.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1949,3,1,,,,,,,,,,,,,,,,,19.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1949,3,9,,,,,,,,,,,,,,,,,32.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1949,3,17,,,,,,,,,,,,,,,,,24.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1949,3,25,,,,,,,,,,,,,,,,,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1949,4,1,,,,,,,,,,,,,,,,,38.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1949,4,9,,,,,,,,,,,,,,,,,45.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1949,4,17,,,,,,,,,,,,,,,,,48.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1949,4,25,,,,,,,,,,,,,,,,,33.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1949,5,1,,,,,,,,,,,,,,,,,62.059999999999995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1949,5,9,,,,,,,,,,,,,,,,,75.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1949,5,17,,,,,,,,,,,,,,,,,49.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1949,5,25,,,,,,,,,,,,,,,,,60.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1949,6,1,,,,,,,,,,,,,,,,,74.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1949,6,9,,,,,,,,,,,,,,,,,67.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1949,6,17,,,,,,,,,,,,,,,,,73.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1949,6,25,,,,,,,,,,,,,,,,,63.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1949,7,1,,,,,,,,,,,,,,,,,84.38000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1949,7,9,,,,,,,,,,,,,,,,,77.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1949,7,17,,,,,,,,,,,,,,,,,68.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1949,7,25,,,,,,,,,,,,,,,,,73.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1949,8,1,,,,,,,,,,,,,,,,,65.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1949,8,9,,,,,,,,,,,,,,,,,75.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1949,8,17,,,,,,,,,,,,,,,,,75.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1949,8,25,,,,,,,,,,,,,,,,,78.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1949,9,1,,,,,,,,,,,,,,,,,54.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1949,9,9,,,,,,,,,,,,,,,,,62.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1949,9,17,,,,,,,,,,,,,,,,,63.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1949,9,25,,,,,,,,,,,,,,,,,57.379999999999995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1949,10,1,,,,,,,,,,,,,,,,,57.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1949,10,9,,,,,,,,,,,,,,,,,61.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
