YEAR,MONTH,DAY,ACMH,ACSH,ADPT,ASLP,ASTP,AWBT,AWND,FMTM,FRGB,FRGT,FRTH,GAHT,PGTM,PRCP,PSUN,RHAV,RHMN,RHMX,SNOW,SNWD,TAVG,THIC,TMAX,TMIN,TOBS,TSUN,WDF1,WDF2,WDF5,WDFG,WDFM,WESD,WSF1,WSF2,WSF5,WSFG,WSFM,WT01,WT02,WT03,WT04,WT05,WT06,WT07,WT08,WT09,WT11,WT13,WT14,WT15,WT16,WT17,WT18,WT19,WT21,WT22,WV03
1941,3,26,,,,,,,,,,,,,,0.0,,,,,,0.0,,,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1941,3,27,,,,,,,,,,,,,,53.0,,,,,3.0,102.0,,,39.02,51.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1941,3,28,,,,,,,,,,,,,,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1941,3,30,,,,,,,,,,,,,,0.0,,,,,0.0,76.0,,,21.92,6.080000000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1941,3,31,,,,,,,,,,,,,,0.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1941,4,1,,,,,,,,,,,,,,0.0,,,,,0.0,0.0,,,48.02,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1941,4,2,,,,,,,,,,,,,,0.0,,,,,0.0,,,,32.0,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1941,4,3,,,,,,,,,,,,,,0.0,,,,,0.0,,,,46.04,28.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1941,4,4,,,,,,,,,,,,,,0.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1941,4,6,,,,,,,,,,,,,,0.0,,,,,0.0,,,,55.04,28.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1941,4,7,,,,,,,,,,,,,,0.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1941,4,9,,,,,,,,,,,,,,0.0,,,,,0.0,0.0,,,46.94,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1941,4,10,,,,,,,,,,,,,,0.0,,,,,0.0,,,,32.0,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1941,4,11,,,,,,,,,,,,,,0.0,,,,,0.0,,,,53.06,26.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1941,4,12,,,,,,,,,,,,,,0.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1941,4,14,,,,,,,,,,,,,,0.0,,,,,0.0,,,,60.08,26.060000000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1941,4,15,,,,,,,,,,,,,,0.0,,,,,0.0,0.0,,,,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1941,4,17,,,,,,,,,,,,,,0.0,,,,,0.0,0.0,,,51.08,28.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1941,4,18,,,,,,,,,,,,,,0.0,,,,,0.0,,,,32.0,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1941,4,19,,,,,,,,,,,,,,0.0,,,,,0.0,,,,57.02,24.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1941,4,20,,,,,,,,,,,,,,0.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1941,4,22,,,,,,,,,,,,,,28.0,,,,,0.0,,,,77.0,42.980000000000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1941,4,23,,,,,,,,,,,,,,0.0,,,,,0.0,0.0,,,,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1941,4,25,,,,,,,,,,,,,,0.0,,,,,0.0,0.0,,,71.06,35.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1941,4,26,,,,,,,,,,,,,,0.0,,,,,0.0,,,,32.0,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1941,4,27,,,,,,,,,,,,,,3.0,,,,,0.0,,,,55.94,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1941,4,28,,,,,,,,,,,,,,0.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1941,4,30,,,,,,,,,,,,,,3.0,,,,,0.0,,,,55.94,44.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
