YEAR,MONTH,DAY,ACMH,ACSH,ADPT,ASLP,ASTP,AWBT,AWND,DAPR,FMTM,MDPR,PGTM,PRCP,PSUN,RHAV,RHMN,RHMX,SNOW,SNWD,TAVG,TMAX,TMIN,TOBS,TSUN,WDF1,WDF2,WDF5,WDFG,WDFM,WESD,WSF1,WSF2,WSF5,WSFG,WSFM,WT01,WT02,WT03,WT04,WT05,WT06,WT07,WT08,WT09,WT10,WT11,WT13,WT14,WT15,WT16,WT17,WT18,WT19,WT21,WT22,WV01,WV03,WV07,WV20
1952,8,27,,,,,,,,,,,,,,,,,,,,66.02,37.94,111.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1952,8,28,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1952,8,30,,,,,,,,,,,,0.0,,,,,,,,62.059999999999995,42.980000000000004,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1952,8,31,,,,,,,,,,,,0.0,,,,,,,,,32.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1952,9,1,,,,,,,,,,,,33.0,,,,,,,,-1767.8200000000002,46.94,111.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1952,9,2,,,,,,,,,,,,0.0,,,,,,,,30.38,32.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1952,9,3,,,,,,,,,,,,0.0,,,,,,,,211.82,46.94,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1952,9,4,,,,,,,,,,,,0.0,,,,,,,,-147.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1952,9,6,,,,,,,,,,,,0.0,,,,,,,,1831.8200000000002,42.08,61.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1952,9,7,,,,,,,,,,,,0.0,,,,,,,,14.18,32.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1952,9,8,,,,,,,,,,,,,,,,,,,,49.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1952,9,9,,,,,,,,,,,,0.0,,,,,,,,53.06,33.98,33.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1952,9,10,,,,,,,,,,,,0.0,,,,,,,,32.0,32.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
