YEAR,MONTH,DAY,ACMC,ACMH,ACSC,ACSH,ADPT,ASLP,ASTP,AWBT,AWND,FMTM,FRGT,GAHT,PGTM,PRCP,PSUN,RHAV,RHMN,RHMX,SNOW,SNWD,TAVG,THIC,TMAX,TMIN,TOBS,TSUN,WDF1,WDF2,WDF5,WDFG,WDFI,WDFM,WESD,WSF1,WSF2,WSF5,WSFG,WSFI,WSFM,WT01,WT02,WT03,WT04,WT05,WT06,WT07,WT08,WT09,WT10,WT11,WT13,WT14,WT16,WT18,WT21,WV03,WV07,WV20
1933,11,25,,,,,,,,,,,,,,0.0,,,,,,,,,84.91999999999999,46.04,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1933,11,26,,,,,,,,,,,,,,,,,,,,,,,33.08,33.08,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1933,11,27,,,,,,,,,,,,,,,,,,,,,,,84.91999999999999,42.980000000000004,61.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1933,11,28,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1933,11,30,,,,,,,,,,,,,,,,,,,,,,,82.94,39.02,94.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1933,11,31,,,,,,,,,,,,,,6.0,,,,,,,,,,33.08,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1933,12,1,,,,,,,,,,,,,,0.0,,,,,,,,,57.02,33.98,33.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1933,12,2,,,,,,,,,,,,,,,,,,,,,,,33.08,33.08,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1933,12,3,,,,,,,,,,,,,,,,,,,,,,,62.059999999999995,33.08,61.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1933,12,4,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1933,12,6,,,,,,,,,,,,,,,,,,,,,,,64.04,37.94,56.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1933,12,7,,,,,,,,,,,,,,6.0,,,,,,,,,,33.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1933,12,8,,,,,,,,,,,,,,,,,,,,,,,,,99.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1933,12,9,,,,,,,,,,,,,,0.0,,,,,,,,,66.92,32.0,56.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1933,12,10,,,,,,,,,,,,,,,,,,,,,,,33.08,33.08,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1933,12,11,,,,,,,,,,,,,,,,,,,,,,,69.08,37.04,61.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1933,12,12,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1933,12,14,,,,,,,,,,,,,,,,,,,,,,,80.06,37.04,61.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1933,12,15,,,,,,,,,,,,,,6.0,,,,,,,,,,33.08,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1933,12,17,,,,,,,,,,,,,,0.0,,,,,,,,,75.02,37.94,61.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1933,12,18,,,,,,,,,,,,,,,,,,,,,,,33.08,33.08,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1933,12,19,,,,,,,,,,,,,,,,,,,,,,,73.04,39.92,89.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1933,12,20,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1933,12,22,,,,,,,,,,,,,,,,,,,,,,,66.02,41.0,67.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1933,12,23,,,,,,,,,,,,,,6.0,,,,,,,,,,33.08,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1933,12,25,,,,,,,,,,,,,,0.0,,,,,,,,,57.02,33.98,39.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1933,12,26,,,,,,,,,,,,,,,,,,,,,,,33.08,33.08,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1933,12,27,,,,,,,,,,,,,,,,,,,,,,,55.94,26.060000000000002,-39.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1933,12,28,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1933,12,30,,,,,,,,,,,,,,,,,,,,,,,71.06,35.06,39.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1933,12,31,,,,,,,,,,,,,,6.0,,,,,,,,,,33.08,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1934,1,1,,,,,,,,,,,,,,0.0,,,,,,,,,75.02,44.96,128.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1934,1,2,,,,,,,,,,,,,,,,,,,,,,,33.08,33.08,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1934,1,3,,,,,,,,,,,,,,,,,,,,,,,69.08,42.980000000000004,56.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1934,1,4,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1934,1,6,,,,,,,,,,,,,,,,,,,,,,,69.98,33.98,122.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1934,1,7,,,,,,,,,,,,,,6.0,,,,,,,,,,33.08,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1934,1,9,,,,,,,,,,,,,,0.0,,,,,,,,,69.98,28.94,39.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1934,1,10,,,,,,,,,,,,,,,,,,,,,,,33.08,33.08,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1934,1,11,,,,,,,,,,,,,,,,,,,,,,,60.980000000000004,26.96,56.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1934,1,12,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1934,1,14,,,,,,,,,,,,,,,,,,,,,,,64.94,33.98,39.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1934,1,15,,,,,,,,,,,,,,6.0,,,,,,,,,,33.08,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1934,1,17,,,,,,,,,,,,,,0.0,,,,,,,,,66.92,33.08,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
