YEAR,MONTH,DAY,ACMH,ACSH,ADPT,ASLP,ASTP,AWBT,AWND,FMTM,PGTM,PRCP,PSUN,RHAV,RHMN,RHMX,SNOW,SNWD,TAVG,TMAX,TMIN,TOBS,TSUN,WDF1,WDF2,WDF5,WDFG,WESD,WSF1,WSF2,WSF5,WSFG,WT01,WT02,WT03,WT04,WT05,WT06,WT07,WT08,WT09,WT10,WT11,WT13,WT14,WT16,WT18,WT21
1948,2,29,,,,,,,,,,0.0,,,,,0.0,0.0,,84.91999999999999,62.059999999999995,,,,,,,,,,,,-9999.0,,,,,,,-9999.0,,,,,,-9999.0,,
1948,2,30,,,,,,,,,,-9999.0,,,,,-9999.0,-9999.0,,-1767.8200000000002,-1767.8200000000002,,,,,,,,,,,,-9999.0,,,,,,,-9999.0,,,,,,-9999.0,,
1948,2,31,,,,,,,,,,-9999.0,,,,,-9999.0,-9999.0,,-1767.8200000000002,-1767.8200000000002,,,,,,,,,,,,-9999.0,,,,,,,-9999.0,,,,,,-9999.0,,
1948,3,1,,,,,,,,,,0.0,,,,,0.0,0.0,,82.04,66.02,,,,,,,,,,,,,,-9999.0,,,,,-9999.0,,,,,,-9999.0,,
1948,3,2,,,,,,,,,,0.0,,,,,0.0,0.0,,82.04,73.04,,,,,,,,,,,,,,-9999.0,,,,,-9999.0,,,,,,-9999.0,,
1948,3,3,,,,,,,,,,0.0,,,,,0.0,0.0,,84.91999999999999,71.96,,,,,,,,,,,,,,-9999.0,,,,,-9999.0,,,,,,1.0,,
1948,3,4,,,,,,,,,,8.0,,,,,0.0,0.0,,84.91999999999999,69.08,,,,,,,,,,,,,,-9999.0,,,,,-9999.0,,,,,,1.0,,
1948,3,5,,,,,,,,,,38.0,,,,,0.0,0.0,,82.94,66.92,,,,,,,,,,,,,,-9999.0,,,,,1.0,,,,,,1.0,,
1948,3,6,,,,,,,,,,3.0,,,,,0.0,0.0,,80.06,69.98,,,,,,,,,,,,,,-9999.0,,,,,-9999.0,,,,,,1.0,,
1948,3,7,,,,,,,,,,0.0,,,,,0.0,0.0,,80.96,71.96,,,,,,,,,,,,,,-9999.0,,,,,-9999.0,,,,,,1.0,,
1948,3,8,,,,,,,,,,28.0,,,,,0.0,0.0,,84.02,68.0,,,,,,,,,,,,,,-9999.0,,,,,-9999.0,,,,,,1.0,,
1948,3,9,,,,,,,,,,0.0,,,,,0.0,0.0,,84.91999999999999,69.08,,,,,,,,,,,,,,-9999.0,,,,,-9999.0,,,,,,-9999.0,,
1948,3,10,,,,,,,,,,0.0,,,,,0.0,0.0,,87.98,73.94,,,,,,,,,,,,,,-9999.0,,,,,-9999.0,,,,,,-9999.0,,
1948,3,11,,,,,,,,,,0.0,,,,,0.0,0.0,,87.98,71.96,,,,,,,,,,,,,,-9999.0,,,,,-9999.0,,,,,,-9999.0,,
1948,3,12,,,,,,,,,,0.0,,,,,0.0,0.0,,86.0,66.02,,,,,,,,,,,,,,-9999.0,,,,,-9999.0,,,,,,-9999.0,,
1948,3,13,,,,,,,,,,0.0,,,,,0.0,0.0,,82.04,66.02,,,,,,,,,,,,,,-9999.0,,,,,1.0,,,,,,1.0,,
1948,3,14,,,,,,,,,,0.0,,,,,0.0,0.0,,78.08,62.959999999999994,,,,,,,,,,,,,,-9999.0,,,,,-9999.0,,,,,,-9999.0,,
1948,3,15,,,,,,,,,,0.0,,,,,0.0,0.0,,80.06,69.98,,,,,,,,,,,,,,-9999.0,,,,,-9999.0,,,,,,-9999.0,,
1948,3,16,,,,,,,,,,0.0,,,,,0.0,0.0,,82.94,71.96,,,,,,,,,,,,,,-9999.0,,,,,-9999.0,,,,,,-9999.0,,
1948,3,17,,,,,,,,,,0.0,,,,,0.0,0.0,,84.02,73.04,,,,,,,,,,,,,,-9999.0,,,,,-9999.0,,,,,,-9999.0,,
1948,3,18,,,,,,,,,,0.0,,,,,0.0,0.0,,84.02,66.92,,,,,,,,,,,,,,-9999.0,,,,,-9999.0,,,,,,1.0,,
1948,3,19,,,,,,,,,,0.0,,,,,0.0,0.0,,82.04,73.04,,,,,,,,,,,,,,-9999.0,,,,,-9999.0,,,,,,-9999.0,,
1948,3,20,,,,,,,,,,0.0,,,,,0.0,0.0,,82.94,71.96,,,,,,,,,,,,,,-9999.0,,,,,-9999.0,,,,,,-9999.0,,
1948,3,21,,,,,,,,,,0.0,,,,,0.0,0.0,,82.94,73.04,,,,,,,,,,,,,,-9999.0,,,,,-9999.0,,,,,,1.0,,
1948,3,22,,,,,,,,,,0.0,,,,,0.0,0.0,,84.02,73.04,,,,,,,,,,,,,,-9999.0,,,,,-9999.0,,,,,,-9999.0,,
1948,3,23,,,,,,,,,,0.0,,,,,0.0,0.0,,84.91999999999999,73.04,,,,,,,,,,,,,,-9999.0,,,,,-9999.0,,,,,,-9999.0,,
1948,3,24,,,,,,,,,,5.0,,,,,0.0,0.0,,89.06,69.98,,,,,,,,,,,,,,-9999.0,,,,,-9999.0,,,,,,1.0,,
1948,3,25,,,,,,,,,,0.0,,,,,0.0,0.0,,89.06,64.04,,,,,,,,,,,,,,-9999.0,,,,,-9999.0,,,,,,1.0,,
1948,3,26,,,,,,,,,,0.0,,,,,0.0,0.0,,86.0,68.0,,,,,,,,,,,,,,-9999.0,,,,,-9999.0,,,,,,-9999.0,,
1948,3,27,,,,,,,,,,0.0,,,,,0.0,0.0,,86.0,66.92,,,,,,,,,,,,,,-9999.0,,,,,-9999.0,,,,,,-9999.0,,
1948,3,28,,,,,,,,,,43.0,,,,,0.0,0.0,,87.98,66.02,,,,,,,,,,,,,,1.0,,,,,-9999.0,,,,,,1.0,,
1948,3,29,,,,,,,,,,10.0,,,,,0.0,0.0,,77.0,57.02,,,,,,,,,,,,,,-9999.0,,,,,-9999.0,,,,,,1.0,,
1948,3,30,,,,,,,,,,0.0,,,,,0.0,0.0,,80.06,57.02,,,,,,,,,,,,,,-9999.0,,,,,-9999.0,,,,,,-9999.0,,
1948,3,31,,,,,,,,,,0.0,,,,,0.0,0.0,,84.02,71.96,,,,,,,,,,,,,,-9999.0,,,,,-9999.0,,,,,,1.0,,
1948,4,1,,,,,,,,,,5.0,,,,,0.0,0.0,,87.08000000000001,75.92,,,,,,,,,,,,-9999.0,,-9999.0,,,,,,,,,,,1.0,,
1948,4,2,,,,,,,,,,0.0,,,,,0.0,0.0,,91.94,73.94,,,,,,,,,,,,-9999.0,,-9999.0,,,,,,,,,,,1.0,,
1948,4,3,,,,,,,,,,312.0,,,,,0.0,0.0,,86.0,69.98,,,,,,,,,,,,-9999.0,,1.0,,,,,,,,,,,1.0,,
1948,4,4,,,,,,,,,,13.0,,,,,0.0,0.0,,77.0,71.06,,,,,,,,,,,,-9999.0,,-9999.0,,,,,,,,,,,1.0,,
1948,4,5,,,,,,,,,,0.0,,,,,0.0,0.0,,80.06,71.96,,,,,,,,,,,,-9999.0,,-9999.0,,,,,,,,,,,1.0,,
1948,4,6,,,,,,,,,,0.0,,,,,0.0,0.0,,84.02,71.96,,,,,,,,,,,,-9999.0,,-9999.0,,,,,,,,,,,1.0,,
1948,4,7,,,,,,,,,,0.0,,,,,0.0,0.0,,84.02,69.08,,,,,,,,,,,,-9999.0,,-9999.0,,,,,,,,,,,-9999.0,,
1948,4,8,,,,,,,,,,0.0,,,,,0.0,0.0,,84.02,64.94,,,,,,,,,,,,-9999.0,,-9999.0,,,,,,,,,,,-9999.0,,
1948,4,9,,,,,,,,,,0.0,,,,,0.0,0.0,,84.91999999999999,64.94,,,,,,,,,,,,-9999.0,,-9999.0,,,,,,,,,,,-9999.0,,
1948,4,10,,,,,,,,,,0.0,,,,,0.0,0.0,,86.0,66.92,,,,,,,,,,,,-9999.0,,1.0,,,,,,,,,,,1.0,,
1948,4,11,,,,,,,,,,84.0,,,,,0.0,0.0,,82.94,71.06,,,,,,,,,,,,-9999.0,,-9999.0,,,,,,,,,,,1.0,,
1948,4,12,,,,,,,,,,0.0,,,,,0.0,0.0,,82.94,73.04,,,,,,,,,,,,-9999.0,,-9999.0,,,,,,,,,,,-9999.0,,
1948,4,13,,,,,,,,,,3.0,,,,,0.0,0.0,,84.02,73.94,,,,,,,,,,,,-9999.0,,-9999.0,,,,,,,,,,,1.0,,
1948,4,14,,,,,,,,,,0.0,,,,,0.0,0.0,,82.04,69.08,,,,,,,,,,,,-9999.0,,-9999.0,,,,,,,,,,,-9999.0,,
1948,4,15,,,,,,,,,,135.0,,,,,0.0,0.0,,82.94,66.02,,,,,,,,,,,,-9999.0,,1.0,,,,,,,,,,,1.0,,
1948,4,16,,,,,,,,,,3.0,,,,,0.0,0.0,,84.02,66.02,,,,,,,,,,,,-9999.0,,-9999.0,,,,,,,,,,,1.0,,
1948,4,17,,,,,,,,,,71.0,,,,,0.0,0.0,,84.91999999999999,66.02,,,,,,,,,,,,-9999.0,,-9999.0,,,,,,,,,,,1.0,,
1948,4,18,,,,,,,,,,399.0,,,,,0.0,0.0,,80.96,64.04,,,,,,,,,,,,1.0,,-9999.0,,,,,,,,,,,1.0,,
1948,4,19,,,,,,,,,,53.0,,,,,0.0,0.0,,80.06,66.92,,,,,,,,,,,,-9999.0,,-9999.0,,,,,,,,,,,1.0,,
1948,4,20,,,,,,,,,,18.0,,,,,0.0,0.0,,80.06,64.04,,,,,,,,,,,,-9999.0,,-9999.0,,,,,,,,,,,1.0,,
1948,4,21,,,,,,,,,,5.0,,,,,0.0,0.0,,80.06,60.980000000000004,,,,,,,,,,,,-9999.0,,-9999.0,,,,,,,,,,,1.0,,
1948,4,22,,,,,,,,,,0.0,,,,,0.0,0.0,,82.94,60.980000000000004,,,,,,,,,,,,-9999.0,,-9999.0,,,,,,,,,,,-9999.0,,
1948,4,23,,,,,,,,,,3.0,,,,,0.0,0.0,,80.96,66.02,,,,,,,,,,,,-9999.0,,-9999.0,,,,,,,,,,,1.0,,
1948,4,24,,,,,,,,,,0.0,,,,,0.0,0.0,,82.94,71.96,,,,,,,,,,,,-9999.0,,-9999.0,,,,,,,,,,,-9999.0,,
1948,4,25,,,,,,,,,,0.0,,,,,0.0,0.0,,80.96,71.06,,,,,,,,,,,,-9999.0,,-9999.0,,,,,,,,,,,1.0,,
1948,4,26,,,,,,,,,,0.0,,,,,0.0,0.0,,82.04,73.04,,,,,,,,,,,,-9999.0,,-9999.0,,,,,,,,,,,1.0,,
1948,4,27,,,,,,,,,,620.0,,,,,0.0,0.0,,82.04,64.94,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,1.0,,
1948,4,28,,,,,,,,,,0.0,,,,,0.0,0.0,,89.06,64.04,,,,,,,,,,,,1.0,,-9999.0,,,,,,,,,,,-9999.0,,
1948,4,29,,,,,,,,,,0.0,,,,,0.0,0.0,,87.98,66.02,,,,,,,,,,,,-9999.0,,-9999.0,,,,,,,,,,,-9999.0,,
1948,4,30,,,,,,,,,,0.0,,,,,0.0,0.0,,82.94,60.08,,,,,,,,,,,,-9999.0,,-9999.0,,,,,,,,,,,-9999.0,,
1948,4,31,,,,,,,,,,-9999.0,,,,,-9999.0,-9999.0,,-1767.8200000000002,-1767.8200000000002,,,,,,,,,,,,-9999.0,,-9999.0,,,,,,,,,,,-9999.0,,
1948,5,1,,,,,,,,,,0.0,,,,,0.0,0.0,,84.02,62.059999999999995,,,,,,,,,,,,-9999.0,,-9999.0,,,,,-9999.0,,,,,,-9999.0,,
1948,5,2,,,,,,,,,,0.0,,,,,0.0,0.0,,86.0,71.06,,,,,,,,,,,,-9999.0,,-9999.0,,,,,-9999.0,,,,,,-9999.0,,
1948,5,3,,,,,,,,,,0.0,,,,,0.0,0.0,,87.08000000000001,68.0,,,,,,,,,,,,1.0,,-9999.0,,,,,-9999.0,,,,,,-9999.0,,
1948,5,4,,,,,,,,,,0.0,,,,,0.0,0.0,,87.98,69.08,,,,,,,,,,,,1.0,,-9999.0,,,,,-9999.0,,,,,,-9999.0,,
1948,5,5,,,,,,,,,,0.0,,,,,0.0,0.0,,87.08000000000001,69.98,,,,,,,,,,,,-9999.0,,-9999.0,,,,,-9999.0,,,,,,-9999.0,,
1948,5,6,,,,,,,,,,0.0,,,,,0.0,0.0,,89.06,69.98,,,,,,,,,,,,-9999.0,,-9999.0,,,,,-9999.0,,,,,,1.0,,
1948,5,7,,,,,,,,,,0.0,,,,,0.0,0.0,,91.94,73.94,,,,,,,,,,,,-9999.0,,-9999.0,,,,,-9999.0,,,,,,-9999.0,,
1948,5,8,,,,,,,,,,3.0,,,,,0.0,0.0,,87.98,69.08,,,,,,,,,,,,1.0,,1.0,,,,,-9999.0,,,,,,1.0,,
1948,5,9,,,,,,,,,,8.0,,,,,0.0,0.0,,84.91999999999999,69.98,,,,,,,,,,,,-9999.0,,-9999.0,,,,,-9999.0,,,,,,1.0,,
1948,5,10,,,,,,,,,,490.0,,,,,0.0,0.0,,82.94,69.08,,,,,,,,,,,,1.0,,1.0,,,,,-9999.0,,,,,,1.0,,
1948,5,11,,,,,,,,,,46.0,,,,,0.0,0.0,,87.08000000000001,66.92,,,,,,,,,,,,-9999.0,,-9999.0,,,,,-9999.0,,,,,,1.0,,
1948,5,12,,,,,,,,,,173.0,,,,,0.0,0.0,,78.08,68.0,,,,,,,,,,,,-9999.0,,1.0,,,,,-9999.0,,,,,,1.0,,
1948,5,13,,,,,,,,,,0.0,,,,,0.0,0.0,,86.0,64.94,,,,,,,,,,,,-9999.0,,-9999.0,,,,,-9999.0,,,,,,-9999.0,,
1948,5,14,,,,,,,,,,0.0,,,,,0.0,0.0,,87.08000000000001,68.0,,,,,,,,,,,,-9999.0,,-9999.0,,,,,-9999.0,,,,,,-9999.0,,
1948,5,15,,,,,,,,,,0.0,,,,,0.0,0.0,,87.08000000000001,69.98,,,,,,,,,,,,-9999.0,,-9999.0,,,,,-9999.0,,,,,,-9999.0,,
1948,5,16,,,,,,,,,,0.0,,,,,0.0,0.0,,87.98,69.98,,,,,,,,,,,,-9999.0,,-9999.0,,,,,-9999.0,,,,,,-9999.0,,
1948,5,17,,,,,,,,,,0.0,,,,,0.0,0.0,,84.91999999999999,75.92,,,,,,,,,,,,-9999.0,,-9999.0,,,,,-9999.0,,,,,,-9999.0,,
1948,5,18,,,,,,,,,,15.0,,,,,0.0,0.0,,86.0,71.06,,,,,,,,,,,,-9999.0,,1.0,,,,,-9999.0,,,,,,1.0,,
1948,5,19,,,,,,,,,,66.0,,,,,0.0,0.0,,84.02,69.98,,,,,,,,,,,,-9999.0,,-9999.0,,,,,-9999.0,,,,,,1.0,,
1948,5,20,,,,,,,,,,0.0,,,,,0.0,0.0,,82.94,66.92,,,,,,,,,,,,1.0,,-9999.0,,,,,-9999.0,,,,,,-9999.0,,
1948,5,21,,,,,,,,,,0.0,,,,,0.0,0.0,,84.02,64.94,,,,,,,,,,,,-9999.0,,-9999.0,,,,,-9999.0,,,,,,-9999.0,,
1948,5,22,,,,,,,,,,0.0,,,,,0.0,0.0,,87.08000000000001,62.959999999999994,,,,,,,,,,,,-9999.0,,-9999.0,,,,,-9999.0,,,,,,-9999.0,,
1948,5,23,,,,,,,,,,0.0,,,,,0.0,0.0,,89.06,66.02,,,,,,,,,,,,-9999.0,,-9999.0,,,,,-9999.0,,,,,,-9999.0,,
1948,5,24,,,,,,,,,,0.0,,,,,0.0,0.0,,89.06,68.0,,,,,,,,,,,,1.0,,-9999.0,,,,,-9999.0,,,,,,-9999.0,,
1948,5,25,,,,,,,,,,0.0,,,,,0.0,0.0,,89.96000000000001,69.98,,,,,,,,,,,,-9999.0,,-9999.0,,,,,-9999.0,,,,,,-9999.0,,
1948,5,26,,,,,,,,,,0.0,,,,,0.0,0.0,,89.06,66.92,,,,,,,,,,,,-9999.0,,-9999.0,,,,,1.0,,,,,,-9999.0,,
1948,5,27,,,,,,,,,,0.0,,,,,0.0,0.0,,87.98,69.98,,,,,,,,,,,,-9999.0,,-9999.0,,,,,-9999.0,,,,,,-9999.0,,
1948,5,28,,,,,,,,,,0.0,,,,,0.0,0.0,,87.08000000000001,69.98,,,,,,,,,,,,-9999.0,,-9999.0,,,,,-9999.0,,,,,,-9999.0,,
1948,5,29,,,,,,,,,,13.0,,,,,0.0,0.0,,89.06,71.96,,,,,,,,,,,,-9999.0,,1.0,,,,,-9999.0,,,,,,1.0,,
1948,5,30,,,,,,,,,,876.0,,,,,0.0,0.0,,91.94,69.08,,,,,,,,,,,,-9999.0,,1.0,,,,,-9999.0,,,,,,1.0,,
1948,5,31,,,,,,,,,,0.0,,,,,0.0,0.0,,91.03999999999999,69.98,,,,,,,,,,,,-9999.0,,1.0,,,,,-9999.0,,,,,,1.0,,
1948,6,1,,,,,,,,,,343.0,,,,,0.0,0.0,,91.03999999999999,69.98,,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,
