YEAR,MONTH,DAY,ACMH,ACSH,ADPT,ASLP,ASTP,AWBT,AWND,FMTM,FRGT,PGTM,PRCP,PSUN,RHAV,RHMN,RHMX,SNOW,SNWD,TAVG,THIC,TMAX,TMIN,TSUN,WDF1,WDF2,WDF5,WDFG,WDFM,WESD,WSF1,WSF2,WSF5,WSFG,WSFM,WT01,WT02,WT03,WT04,WT05,WT06,WT07,WT08,WT09,WT11,WT13,WT14,WT15,WT16,WT17,WT18,WT19,WT21,WT22,WV01,WV03,WV20
1948,3,6,,,,,,,,,,,0.0,,,,,0.0,0.0,,,57.02,30.92,,,,,,,,,,,,,9999.0,,,9999.0,9999.0,,,9999.0,,,,,,9999.0,,9999.0,,,,,,
1948,3,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-99.0,,,-99.0,-99.0,,,,,,,,,,,-99.0,,,,,,
1948,3,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.0,,,99.0,99.0,,,,,,,,,,,99.0,,,,,,
1948,3,9,,,,,,,,,,,15.0,,,,,0.0,0.0,,,46.94,41.0,,,,,,,,,,,,,1.0,,,-9999.0,-9999.0,,,1.0,,,,,,1.0,,-9999.0,,,,,,
1948,3,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9.0,-9.0,,,,,,,,,,,-9.0,,,,,,
1948,3,11,,,,,,,,,,,41.0,,,,,0.0,0.0,,,42.08,33.98,,,,,,,,,,,,,1.0,,,999.0,999.0,,,1.0,,,,,,1.0,,999.0,,,,,,
1948,3,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-999.0,-999.0,,,,,,,,,,,-999.0,,,,,,
1948,3,14,,,,,,,,,,,0.0,,,,,0.0,0.0,,,46.94,33.08,,,,,,,,,,,,,9999.0,,,9999.0,9999.0,,,9999.0,,,,,,9999.0,,9999.0,,,,,,
1948,3,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-99.0,,,-99.0,-99.0,,,-99.0,,,,,,-99.0,,-99.0,,,,,,
1948,3,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.0,,,99.0,99.0,,,99.0,,,,,,99.0,,99.0,,,,,,
1948,3,17,,,,,,,,,,,20.0,,,,,0.0,0.0,,,51.08,30.92,,,,,,,,,,,,,-9999.0,,,1.0,-9999.0,,,-9999.0,,,,,,1.0,,1.0,,,,,,
1948,3,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9.0,,,,-9.0,,,-9.0,,,,,,,,,,,,,,
