YEAR,MONTH,DAY,ACMH,ACSH,ADPT,ASLP,ASTP,AWBT,AWND,FMTM,FRGT,PGTM,PRCP,RHAV,RHMN,RHMX,SNOW,SNWD,TAVG,THIC,TMAX,TMIN,TSUN,WDF1,WDF2,WDF5,WDFG,WDFM,WESD,WSF1,WSF2,WSF5,WSFG,WSFM,WT01,WT02,WT03,WT04,WT05,WT07,WT08,WT09,WT10,WT11,WT13,WT14,WT16,WT18,WT21,WV01,WV03,WV20
1967,5,18,10.0,20.0,,,,,,,,1324.0,0.0,,,,0.0,0.0,,,62.959999999999994,50.0,,,,,315.0,315.0,,,,,139.0,125.0,-9999.0,,,,,,-9999.0,,,,,,-9999.0,,,,,
1967,5,19,40.0,20.0,,,,,,,,1642.0,0.0,,,,0.0,0.0,,,64.94,50.0,,,,,270.0,270.0,,,,,159.0,139.0,1.0,,,,,,-9999.0,,,,,,-9999.0,,,,,
1967,5,20,50.0,20.0,,,,,,,,1624.0,0.0,,,,0.0,0.0,,,66.92,51.08,,,,,293.0,293.0,,,,,149.0,134.0,1.0,,,,,,-9999.0,,,,,,-9999.0,,,,,
1967,5,21,30.0,20.0,,,,,,,,1854.0,0.0,,,,0.0,0.0,,,75.02,50.0,,,,,293.0,293.0,,,,,118.0,112.0,1.0,,,,,,1.0,,,,,,1.0,,,,,
1967,5,22,0.0,0.0,,,,,,,,1436.0,0.0,,,,0.0,0.0,,,64.04,51.98,,,,,293.0,293.0,,,,,149.0,134.0,-9999.0,,,,,,-9999.0,,,,,,-9999.0,,,,,
1967,5,23,0.0,0.0,,,,,,,,1806.0,0.0,,,,0.0,0.0,,,66.02,50.0,,,,,293.0,270.0,,,,,180.0,152.0,-9999.0,,,,,,-9999.0,,,,,,-9999.0,,,,,
1967,5,24,40.0,60.0,,,,,,,,1630.0,0.0,,,,0.0,0.0,,,60.98,48.92,,,,,270.0,270.0,,,,,164.0,148.0,-9999.0,,,,,,-9999.0,,,,,,-9999.0,,,,,
1967,5,25,20.0,10.0,,,,,,,,1754.0,0.0,,,,0.0,0.0,,,64.94,44.96,,,,,270.0,270.0,,,,,134.0,116.0,-9999.0,,,,,,-9999.0,,,,,,-9999.0,,,,,
1967,5,26,80.0,100.0,,,,,,,,1612.0,0.0,,,,0.0,0.0,,,60.08,50.0,,,,,293.0,293.0,,,,,134.0,112.0,-9999.0,,,,,,-9999.0,,,,,,-9999.0,,,,,
1967,5,27,50.0,40.0,,,,,,,,1218.0,0.0,,,,0.0,0.0,,,64.04,50.0,,,,,293.0,293.0,,,,,211.0,174.0,1.0,,,,,,-9999.0,,,,,,1.0,,,,,
1967,5,28,90.0,100.0,,,,,,,,606.0,0.0,,,,0.0,0.0,,,64.94,51.98,,,,,270.0,270.0,,,,,154.0,125.0,1.0,,,,,,-9999.0,,,,,,1.0,,,,,
1967,5,29,70.0,80.0,,,,,,,,1812.0,0.0,,,,0.0,0.0,,,62.059999999999995,50.0,,,,,293.0,293.0,,,,,206.0,170.0,-9999.0,,,,,,-9999.0,,,,,,-9999.0,,,,,
1967,5,30,20.0,20.0,,,,,,,,1712.0,0.0,,,,0.0,0.0,,,62.959999999999994,48.92,,,,,270.0,270.0,,,,,211.0,183.0,-9999.0,,,,,,-9999.0,,,,,,-9999.0,,,,,
1967,5,31,40.0,30.0,,,,,,,,1612.0,0.0,,,,0.0,0.0,,,62.059999999999995,48.92,,,,,270.0,270.0,,,,,200.0,174.0,-9999.0,,,,,,-9999.0,,,,,,-9999.0,,,,,
1967,6,1,100.0,100.0,,,,,,,,1418.0,13.0,,,,0.0,0.0,,,62.059999999999995,50.0,,,,,203.0,180.0,,,,,118.0,85.0,-9999.0,,,,,,-9999.0,,,,,,1.0,,,,,
1967,6,2,100.0,100.0,,,,,,,,1436.0,206.0,,,,0.0,0.0,,,55.94,51.98,,,,,180.0,180.0,,,,,108.0,76.0,1.0,,,,,,-9999.0,,,,,,1.0,,,,,
1967,6,3,80.0,90.0,,,,,,,,1812.0,0.0,,,,0.0,0.0,,,68.0,53.06,,,,,293.0,293.0,,,,,129.0,112.0,-9999.0,,,,,,-9999.0,,,,,,1.0,,,,,
1967,6,4,70.0,80.0,,,,,,,,1642.0,0.0,,,,0.0,0.0,,,64.94,51.08,,,,,270.0,293.0,,,,,129.0,116.0,-9999.0,,,,,,-9999.0,,,,,,-9999.0,,,,,
1967,6,5,100.0,100.0,,,,,,,,1200.0,0.0,,,,0.0,0.0,,,60.98,53.06,,,,,270.0,270.0,,,,,108.0,89.0,1.0,,,,,,-9999.0,,,,,,1.0,,,,,
1967,6,6,90.0,100.0,,,,,,,,2000.0,0.0,,,,0.0,0.0,,,60.98,53.96,,,,,270.0,293.0,,,,,123.0,98.0,-9999.0,,,,,,-9999.0,,,,,,1.0,,,,,
1967,6,7,100.0,90.0,,,,,,,,1542.0,0.0,,,,0.0,0.0,,,60.98,53.06,,,,,270.0,270.0,,,,,154.0,130.0,-9999.0,,,,,,-9999.0,,,,,,-9999.0,,,,,
1967,6,8,70.0,60.0,,,,,,,,1836.0,0.0,,,,0.0,0.0,,,66.02,51.98,,,,,270.0,270.0,,,,,144.0,107.0,-9999.0,,,,,,-9999.0,,,,,,-9999.0,,,,,
1967,6,9,100.0,90.0,,,,,,,,1530.0,0.0,,,,0.0,0.0,,,59.0,51.98,,,,,270.0,270.0,,,,,159.0,139.0,-9999.0,,,,,,-9999.0,,,,,,-9999.0,,,,,
1967,6,10,70.0,50.0,,,,,,,,1706.0,0.0,,,,0.0,0.0,,,66.92,51.98,,,,,270.0,270.0,,,,,154.0,125.0,-9999.0,,,,,,-9999.0,,,,,,-9999.0,,,,,
1967,6,11,100.0,100.0,,,,,,,,1724.0,0.0,,,,0.0,0.0,,,62.059999999999995,51.98,,,,,270.0,270.0,,,,,231.0,183.0,-9999.0,,,,,,-9999.0,,,,,,-9999.0,,,,,
1967,6,12,100.0,100.0,,,,,,,,1054.0,0.0,,,,0.0,0.0,,,60.08,51.98,,,,,270.0,270.0,,,,,200.0,161.0,-9999.0,,,,,,-9999.0,,,,,,1.0,,,,,
1967,6,13,50.0,20.0,,,,,,,,1700.0,0.0,,,,0.0,0.0,,,71.06,53.06,,,,,293.0,293.0,,,,,129.0,116.0,-9999.0,,,,,,-9999.0,,,,,,1.0,,,,,
1967,6,14,50.0,30.0,,,,,,,,1512.0,0.0,,,,0.0,0.0,,,66.02,51.98,,,,,293.0,315.0,,,,,123.0,112.0,-9999.0,,,,,,-9999.0,,,,,,1.0,,,,,
1967,6,15,70.0,50.0,,,,,,,,1542.0,0.0,,,,0.0,0.0,,,62.059999999999995,51.08,,,,,293.0,315.0,,,,,139.0,125.0,1.0,,,,,,-9999.0,,,,,,1.0,,,,,
